lexeme: program		type: program		line number: 1
lexeme: {		type: {		line number: 1
lexeme: int		type: int		line number: 4
lexeme: str		type: id		line number: 4
lexeme: [		type: [		line number: 4
lexeme: 11		type: num		line number: 4
lexeme: ]		type: ]		line number: 4
lexeme: ;		type: ;		line number: 4
lexeme: str		type: id		line number: 5
lexeme: [		type: [		line number: 5
lexeme: 0		type: num		line number: 5
lexeme: ]		type: ]		line number: 5
lexeme: =		type: =		line number: 5
lexeme: 112		type: num		line number: 5
lexeme: ;		type: ;		line number: 5
lexeme: str		type: id		line number: 6
lexeme: [		type: [		line number: 6
lexeme: 1		type: num		line number: 6
lexeme: ]		type: ]		line number: 6
lexeme: =		type: =		line number: 6
lexeme: 117		type: num		line number: 6
lexeme: ;		type: ;		line number: 6
lexeme: str		type: id		line number: 7
lexeme: [		type: [		line number: 7
lexeme: 2		type: num		line number: 7
lexeme: ]		type: ]		line number: 7
lexeme: =		type: =		line number: 7
lexeme: 116		type: num		line number: 7
lexeme: ;		type: ;		line number: 7
lexeme: str		type: id		line number: 8
lexeme: [		type: [		line number: 8
lexeme: 3		type: num		line number: 8
lexeme: ]		type: ]		line number: 8
lexeme: =		type: =		line number: 8
lexeme: 32		type: num		line number: 8
lexeme: ;		type: ;		line number: 8
lexeme: str		type: id		line number: 9
lexeme: [		type: [		line number: 9
lexeme: 4		type: num		line number: 9
lexeme: ]		type: ]		line number: 9
lexeme: =		type: =		line number: 9
lexeme: 110		type: num		line number: 9
lexeme: ;		type: ;		line number: 9
lexeme: str		type: id		line number: 10
lexeme: [		type: [		line number: 10
lexeme: 5		type: num		line number: 10
lexeme: ]		type: ]		line number: 10
lexeme: =		type: =		line number: 10
lexeme: 117		type: num		line number: 10
lexeme: ;		type: ;		line number: 10
lexeme: str		type: id		line number: 11
lexeme: [		type: [		line number: 11
lexeme: 6		type: num		line number: 11
lexeme: ]		type: ]		line number: 11
lexeme: =		type: =		line number: 11
lexeme: 109		type: num		line number: 11
lexeme: ;		type: ;		line number: 11
lexeme: str		type: id		line number: 12
lexeme: [		type: [		line number: 12
lexeme: 7		type: num		line number: 12
lexeme: ]		type: ]		line number: 12
lexeme: =		type: =		line number: 12
lexeme: 98		type: num		line number: 12
lexeme: ;		type: ;		line number: 12
lexeme: str		type: id		line number: 13
lexeme: [		type: [		line number: 13
lexeme: 8		type: num		line number: 13
lexeme: ]		type: ]		line number: 13
lexeme: =		type: =		line number: 13
lexeme: 101		type: num		line number: 13
lexeme: ;		type: ;		line number: 13
lexeme: str		type: id		line number: 14
lexeme: [		type: [		line number: 14
lexeme: 9		type: num		line number: 14
lexeme: ]		type: ]		line number: 14
lexeme: =		type: =		line number: 14
lexeme: 114		type: num		line number: 14
lexeme: ;		type: ;		line number: 14
lexeme: str		type: id		line number: 15
lexeme: [		type: [		line number: 15
lexeme: 10		type: num		line number: 15
lexeme: ]		type: ]		line number: 15
lexeme: =		type: =		line number: 15
lexeme: 10		type: num		line number: 15
lexeme: ;		type: ;		line number: 15
lexeme: for		type: for		line number: 18
lexeme: (		type: (		line number: 18
lexeme: int		type: int		line number: 18
lexeme: n		type: id		line number: 18
lexeme: =		type: =		line number: 18
lexeme: 0		type: num		line number: 18
lexeme: ;		type: ;		line number: 18
lexeme: n		type: id		line number: 18
lexeme: <=		type: <=		line number: 18
lexeme: 10		type: num		line number: 18
lexeme: ;		type: ;		line number: 18
lexeme: n		type: id		line number: 18
lexeme: =		type: =		line number: 18
lexeme: n		type: id		line number: 18
lexeme: +		type: +		line number: 18
lexeme: 1		type: num		line number: 18
lexeme: )		type: )		line number: 18
lexeme: {		type: {		line number: 18
lexeme: put		type: put		line number: 19
lexeme: (		type: (		line number: 19
lexeme: str		type: id		line number: 19
lexeme: [		type: [		line number: 19
lexeme: n		type: id		line number: 19
lexeme: ]		type: ]		line number: 19
lexeme: )		type: )		line number: 19
lexeme: ;		type: ;		line number: 19
lexeme: }		type: }		line number: 20
lexeme: ;		type: ;		line number: 20
lexeme: int		type: int		line number: 25
lexeme: char		type: id		line number: 25
lexeme: ;		type: ;		line number: 25
lexeme: get		type: get		line number: 26
lexeme: (		type: (		line number: 26
lexeme: char		type: id		line number: 26
lexeme: )		type: )		line number: 26
lexeme: ;		type: ;		line number: 26
lexeme: int		type: int		line number: 27
lexeme: count		type: id		line number: 27
lexeme: ;		type: ;		line number: 27
lexeme: count		type: id		line number: 29
lexeme: =		type: =		line number: 29
lexeme: charToNum		type: id		line number: 29
lexeme: (		type: (		line number: 29
lexeme: char		type: id		line number: 29
lexeme: )		type: )		line number: 29
lexeme: ;		type: ;		line number: 29
lexeme: for		type: for		line number: 30
lexeme: (		type: (		line number: 30
lexeme: int		type: int		line number: 30
lexeme: i		type: id		line number: 30
lexeme: =		type: =		line number: 30
lexeme: 0		type: num		line number: 30
lexeme: ;		type: ;		line number: 30
lexeme: i		type: id		line number: 30
lexeme: <		type: <		line number: 30
lexeme: count		type: id		line number: 30
lexeme: ;		type: ;		line number: 30
lexeme: i		type: id		line number: 30
lexeme: =		type: =		line number: 30
lexeme: i		type: id		line number: 30
lexeme: +		type: +		line number: 30
lexeme: 1		type: num		line number: 30
lexeme: )		type: )		line number: 30
lexeme: {		type: {		line number: 30
lexeme: put		type: put		line number: 32
lexeme: (		type: (		line number: 32
lexeme: numToChar		type: id		line number: 32
lexeme: (		type: (		line number: 32
lexeme: i		type: id		line number: 32
lexeme: )		type: )		line number: 32
lexeme: )		type: )		line number: 32
lexeme: ;		type: ;		line number: 32
lexeme: }		type: }		line number: 33
lexeme: ;		type: ;		line number: 33
lexeme: }		type: }		line number: 36
lexeme: ;		type: ;		line number: 36
lexeme: int		type: int		line number: 38
lexeme: numToChar		type: id		line number: 38
lexeme: (		type: (		line number: 38
lexeme: int		type: int		line number: 38
lexeme: number		type: id		line number: 38
lexeme: )		type: )		line number: 38
lexeme: {		type: {		line number: 38
lexeme: int		type: int		line number: 39
lexeme: ascii		type: id		line number: 39
lexeme: ;		type: ;		line number: 39
lexeme: if		type: if		line number: 40
lexeme: (		type: (		line number: 40
lexeme: number		type: id		line number: 40
lexeme: >=		type: >=		line number: 40
lexeme: 0		type: num		line number: 40
lexeme: )		type: )		line number: 40
lexeme: then		type: then		line number: 40
lexeme: {		type: {		line number: 40
lexeme: ascii		type: id		line number: 41
